diva_name,album_name,release_year,album_image_url
Cher,Foxy Lady,1972,https://i.scdn.co/image/ab67616d0000b2731095e43aefde895354769c42
Cher,"Gypsys, Tramps & Thieves",1971,https://i.scdn.co/image/ab67616d0000b2738c097583959947d229e0ab2e
Cher,3614 Jackson Highway,1969,https://i.scdn.co/image/ab67616d0000b273b4fbcc8a69ef7889521b90bf
Cher,Backstage,1968,https://i.scdn.co/image/ab67616d0000b273e88ed5dbdf0379ba7b279c1d
Cher,"With Love, Cher",1967,https://i.scdn.co/image/ab67616d0000b27308b693ec65a3d9c9f178a764
Cher,Chér,1966,https://i.scdn.co/image/ab67616d0000b27351160dc962f315ca0106ceeb
Cher,The Sonny Side Of Chér,1966,https://i.scdn.co/image/ab67616d0000b273742c9d2f5c7ca5af8fdeb37e
Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,2023,https://i.scdn.co/image/ab67616d0000b27359ae8cf65d498afdd5585634
Lana Del Rey,Blue Banisters,2021,https://i.scdn.co/image/ab67616d0000b2736946deb6f548e464b385ee0e
Lana Del Rey,Chemtrails Over The Country Club,2021,https://i.scdn.co/image/ab67616d0000b273ca929c6e766cb8591a286e0d
Lana Del Rey,Norman Fucking Rockwell!,2019,https://i.scdn.co/image/ab67616d0000b273879e9318cb9f4e05ee552ac9
Lana Del Rey,Lust For Life,2017,https://i.scdn.co/image/ab67616d0000b27395e2fd1accb339fa14878190
Lana Del Rey,Honeymoon,2015,https://i.scdn.co/image/ab67616d0000b273a3b3f48ca81acacb3ad4ec8a
Lana Del Rey,Ultraviolence,2014,https://i.scdn.co/image/ab67616d0000b2731624590458126fc8b8c64c2f
Lana Del Rey,Paradise,2012,https://i.scdn.co/image/ab67616d0000b2734123029b8c0648e8f1fad18a
Lana Del Rey,Born To Die,2012,https://i.scdn.co/image/ab67616d0000b273a1c37f3fd969287c03482c3b
Cyndi Lauper,Detour,2016,https://i.scdn.co/image/ab67616d0000b273bec060add48395375aa4bdaf
Cyndi Lauper,Memphis Blues,2010,https://i.scdn.co/image/ab67616d0000b27370b25f434dd972f3f5aedce0
Cyndi Lauper,Bring Ya To The Brink,2008,https://i.scdn.co/image/ab67616d0000b2735a0718a187d947570d56cab3
Cyndi Lauper,At Last,2003,https://i.scdn.co/image/ab67616d0000b273cf1ad42f0a62ae336ed0e68b
Cyndi Lauper,Merry Christmas...Have A Nice Life,1998,https://i.scdn.co/image/ab67616d0000b2736af8ea8f78c153d06fbfbbd9
Cyndi Lauper,Sisters Of Avalon,1996,https://i.scdn.co/image/ab67616d0000b2734d97d776b6f5be167b6ae6bc
Cyndi Lauper,Hat Full Of Stars,1993,https://i.scdn.co/image/ab67616d0000b2737e4e5a58abd430680c8d73ee
Cyndi Lauper,A Night To Remember,1989,https://i.scdn.co/image/ab67616d0000b273cb6c3a8c80190493c6a44e33
Cyndi Lauper,True Colors,1986,https://i.scdn.co/image/ab67616d0000b2735128af6747a56ccb3c7ea5b3
Cyndi Lauper,She's So Unusual,1983,https://i.scdn.co/image/ab67616d0000b27352f532df7ba3269b0242fed9
Billie Eilish,HIT ME HARD AND SOFT,2024,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62
Billie Eilish,Happier Than Ever,2021,https://i.scdn.co/image/ab67616d0000b2732a038d3bf875d23e4aeaa84e
Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce
